TG	1	1	Người tối cổ xuất hiện trên Trái Đất vào niên đại nào?	2.000.000.000 năm trước	80.000.000 năm trước	6.000.000 năm trước	400.000 năm trước	C	M	-	-
TG	1	2	Đâu trong các sự kiện dưới đây đánh dấu bước ngoặt cho thấy loài vượn đã tiến hoá thành loài người?	biết chế tạo công cụ sản xuất	biết sử dụng công cụ sản xuất	biết hái lượm và săn bắt	sống thành bầy đàn theo quan hệ huyết thống	A	M	-	-
TG	1	3	Đâu trong các dòng dưới đây không phải là mục đích dùng lửa của người tối cổ?	sưởi ấm	nướng thức ăn	xua thú dữ	luyện kim	D	E	-	-
TG	1	4	Thành Khang chi trị là cụm từ mô tả sự thịnh vượng của Trung Quốc dưới sự trị vì của một số vua ở triều đại nào?	Thương	Chu	Đường	Tống	B	H	-	-
TG	1	5	Mâu thuẫn cơ bản về giai cấp trong thời kì cổ đại ở Hy Lạp và Rôma là mâu thuẫn giữa các giai cấp nào?	Chủ nô và nô lệ	Lãnh chúa và nông nô	Quý tộc và bình dân	Tôn giáo và phi tôn giáo	A	E	-	-
TG	1	6	Dòng nào dưới đây nêu đúng thứ tự xuất hiện của ba tôn giáo độc thần theo thời gian?	Do Thái giáo, Kitô giáo, Hồi giáo	Kitô giáo, Do Thái giáo, Hồi giáo	Kitô giáo, Hồi giáo, Do Thái giáo	Do Thái giáo, Hồi giáo, Kitô giáo	A	M	-	-
TG	1	7	Chiến tranh nô lệ lần thứ ba (73TCN - 71TCN), cuộc chiến đe doạ trực tiếp đến chính quyền Roma, bùng nổ dưới sự chỉ huy của thủ lĩnh nào phe nô lệ	Quintus Sertorius	Marcus Licinius Crassus	Oenomaus	Spartacus	D	M	-	-
TG	1	8	Nội chiến do ai chỉ huy đã làm diệt vong chế độ hội đồng nguyên lão tại Rôma và bắt đầu xác lập thời kì đế chế?	César	Augustus	Tiberus	Nero	A	H	-	-
TG	1	9	Ai là hoàng đế đầu tiên của đế chế Rôma?	César	Augustus	Nerva	Pertinax	B	H	-	-
TG	1	10	Kim tự tháp Giza được xây dựng ở thời kì nào của Ai Cập cổ đại?	Cổ vương quốc (thế kỉ XXVII - XXII TCN)	Trung vương quốc (thế kỉ XXII - XVII TCN)	Tân vương quốc (Thế kỉ XVI - XI TCN)	Thuộc Rôma (thế kỉ I TCN - VII)	A	H	-	-
TG	1	11	Ngũ bá thời Xuân Thu theo Sử kí của Tư Mã Thiên là vua những nước nào?	Tề, Tấn, Tống, Tần, Ngô	Tề, Tấn, Ngô, Việt, Sở	Tề, Tống, Ngô, Việt, Sở	Tề, Tấn, Tống, Tần, Sở	D	H	-	-
TG	1	12	Một trong những sự kiện đánh dấu sự chuyển thời đại từ Xuân Thu sang Chiến Quốc ở Trung Quốc cổ đại là việc nước Tấn bị chia thành 3 nước nào sau đây?	Triệu, Nguỵ, Yên	Yên, Nguỵ, Hàn	Triệu, Nguỵ, Hàn	Yên, Hàn, Triệu	C	H	-	-
TG	1	13	Xuân Thu và Chiến Quốc là hai giai đoạn của thời kì nào sau đây của Trung Quốc cổ đại?	Tây Chu	Đông Chu	Tây Hán	Đông Hán	B	M	-	-
TG	2	14	Văn Cảnh chi trị là cụm từ mô tả sự cai trị của một số vua Trung Quốc ở thời kì nào?	Chu (thế kỉ XI TCN - III TCN)	Tây Hán (thế kỉ II TCN - I)	Đông Hán (thế kỉ I - III)	Đường (thế kỉ VII - X)	B	H	-	-
TG	2	15	Dòng nào sau đây không nêu đúng hiểm hoạ ngoại xâm của Trung Quốc tương ứng với triều đại trị vì?	Thời Chu, quân Khuyển Nhung	Thời Hán, quân Hung Nô	Thời Đường, quân Tây Hạ	Thời Bắc Tống, quân Liêu 	C	H	-	-
TG	2	16	Thời kì Nam Bắc triều ở Trung Quốc diễn ra trong những thế kì nào?	Thế kỉ I - III	Thế kỉ IV - VI	Thế kỉ VI - VIII	Thế kỉ X	B	M	-	-
TG	2	17	Loạn An Sử (An Lộc Sơn và Sử Tư Minh) diễn ra ở vương triều nào của Trung Quốc?	Hán	Đường	Tống	Minh	B	H	-	-
TG	3	18	Trong nội chiến ở Anh 1640-1649, vua nào bị xử tử năm 1649 vì bị kết tội phản quốc?	Charles I	George I	Harold II	Erward I	A	H	-	-
TG	3	19	Sự kiện nào dưới đây đánh dấu sự bùng nổ Cách mạng Pháp 1789 và trở thành ngày Quốc khánh nước Cộng hoà Pháp hiện nay?	Phá ngục Bastille	Chiếm cung điện Versailles	Xử tử vua Louis XVI	Nhóm Jacobin lên nắm chính quyền	A	M	-	-
TG	3	20	Khi thành lập Hợp chúng quốc Mỹ (1776), quốc gia này có bao nhiêu bang?	13	18	22	27	A	H	-	-
TG	3	21	Để trấn áp phong trào nào sau đây tại Trung Quốc, liên quân 8 nước đã tấn công Bắc Kinh năm 1901?	Thái Bình Thiên quốc	Trung Quốc Đồng Minh hội	Nghĩa Hoà Đoàn	Cách mạng Tân Hợi	C	H	-	-
VN	1	22	Tại di chỉ nào dưới đây các nhà khảo cổ đã tìm thấy hoá thạch của răng người tối cổ ở Việt Nam?	Núi Đọ (Thanh Hoá)	Hang Thẩm Khuyên, Thẩm Hai (Lạng Sơn)	Hàng Gòn, Dầu Giây (Đồng Nai)	Dốc Mơ, Vườn Dũ (Sông Bé)	B	H	-	-
VN	1	23	Theo công nhận của sử học chính thống hiện nay (quan điểm được giảng dạy trong sách giáo khoa), thời kì Hùng Vương kéo dài bao nhiêu thế kỉ?	5 thế kỉ	11 thế kỉ	17 thế kỉ	27 thế kỉ	A	M	-	-
VN	1	24	Di tích thành Cổ Loa hiện nằm ở đâu?	Phong Châu, Phú Thọ	Hoa Lư, Ninh Bình	Đông Anh, Hà Nội	Lam Sơn, Thanh Hoá	C	E	-	-
VN	1	25	Đâu là thứ tự tiến công đúng của nghĩa quân Hai Bà Trưng (năm 40) khi đánh đuổi quân Hán khỏi Giao Chỉ?	Mê Linh, Luy Lâu, Cổ Loa	Mê Linh, Cổ Loa, Luy Lâu	Mê Linh, Luy Lâu, Hợp Phố	Mê Linh, Cổ Loa, Hợp Phố	B	H	-	-
VN	1	26	Nhân vật lịch sử nào chống lại quân xâm lược Trần (Trung Quốc), giữ vững độc lập tạm thời của dân tộc?	Đinh Kiến, Lý Tự Tiên (thế kỉ VII)	Dương Thanh (thế kỉ IX)	Lý Phật Tử (thế kỉ VI, VII)	Triệu Quang Phục (thế kỉ VI)	D	H	-	-
VN	1	27	Tướng giặc nào của Nam Hán tử trận trên sông Bạch Đằng trong trận chiến với Ngô Quyền năm 938?	Hoằng Thao (Hoằng Tháo)	Thoát Hoan	Liễu Thăng	Sầm Nghi Đống	A	M	-	-
VN	1	28	Quốc hiệu nước ta trong thời kì Hùng Vương là gì?	Văn Lang	Âu Lạc	Vạn Xuân	Đại Cồ Việt	A	E	-	-
VN	1	29	Quốc hiệu nước ta trong thời kì An Dương Vương là gì?	Văn Lang	Âu Lạc	Vạn Xuân	Đại Cồ Việt	B	E	-	-
VN	1	30	Kinh đô nước ta trong thời kì Hùng Vương thuộc địa phương nào hiện nay?	Phong Châu, Phú Thọ	Đông Anh, Hà Nội	Hoa Lư, Ninh Bình	Thanh Hoá	A	E	-	-
VN	1	31	Tương truyền trong lịch sử và truyền thuyết, có bao nhiêu đời vua Hùng Vương?	9	18	27	35	B	E	-	-
VN	1	32	Theo truyền thuyết, sự tích nào dưới đây không xảy ra vào thời kì Hùng Vương?	Bánh chưng bánh giầy	Trầu cau	Sơn Tinh, Thuỷ Tinh	Thạch Sanh	D	E	-	-
VN	1	33	Theo truyền thuyết, họ của các vua Hùng là gì?	Hùng	Trưng	Hồng Bàng	Thục	C	E	-	-
VN	1	34	Đâu là tên một chức tước trong bộ máy nhà nước thời Hùng Vương?	Thừa tướng	Thủ tướng	Đại tướng	Lạc tướng	D	E	-	-
VN	1	35	Thành Cổ Loa được xây hình xoắn ốc với bao nhiêu vòng thành?	1	2	3	4	C	M	-	-
VN	1	36	Nước ta thời Hùng Vương được chia thành bao nhiêu bộ?	8	15	24	35	B	M	-	-
VN	1	37	Thời Hùng Vương, con gái vua được gọi là gì?	Công chúa	Công nương	Phu nhân	Mị nương	D	E	-	-
